Combinacao;Sphere;Schwefel;Rosenbrock;Rastrigin 
p= 0.1, r= 6.0, n= 100, t= 100;235,7934818863;4,1117852497;153.396,8978684845;913,6471904211 
p= 0.1, r= 6.0, n= 100, t= 1000;247,5604730087;5,1212762451;174.525,6995807415;855,9754638692 
p= 0.1, r= 6.0, n= 100, t= 10000;241,8283795528;4,2084641961;194.622,5465603041;904,9297603353 
p= 0.1, r= 6.0, n= 1000, t= 50;50.296,3526881717;64,3697097629;4.602.048.971,5091320000;49.544,5700279960 
p= 0.1, r= 6.0, n= 1000, t= 100;58.730,2973947550;65,6913023402;6.432.540.527,5905075000;32.529,0568606838 
p= 0.1, r= 6.0, n= 1000, t= 1000;50.457,6197431635;65,0607542097;2.589.272.822,0461926000;66.373,6247171685 
p= 0.1, r= 6.0, n= 1000, t= 10000;52.401,1692703760;64,8657407311;5.203.821.667,6490320000;44.210,5358386211 
p= 0.5, r= 1.0, n= 5, t= 50;148,1696917876;6,7003491451;102.497,9703550491;1.507,9658548957 
p= 0.5, r= 1.0, n= 5, t= 100;151,1869586278;6,5899327101;85.990,3600771902;1.597,3415580106 
p= 0.5, r= 1.0, n= 5, t= 1000;157,7268923397;6,2410284222;105.316,0479586193;1.637,6377975272 
p= 0.5, r= 1.0, n= 5, t= 10000;145,2850500375;6,2676583692;102.026,3659078527;1.588,1460504021 
p= 0.5, r= 1.0, n= 20, t= 50;75,2137727879;3,5759582141;30.597,2528123460;1.289,0056729925 
p= 0.5, r= 1.0, n= 20, t= 100;73,6530579210;3,6665212627;35.810,4202438386;1.309,3624841133 
p= 0.5, r= 1.0, n= 20, t= 1000;78,2430036254;3,4811906348;37.773,1822979810;1.308,8633800812 
p= 0.5, r= 1.0, n= 20, t= 10000;76,2317869442;3,9194630994;38.651,1917852529;1.310,4637621589 
p= 0.5, r= 1.0, n= 100, t= 50;50,7827818330;31,6549450669;12.901,3256930454;1.180,1666548819 
p= 0.5, r= 1.0, n= 100, t= 100;42,9429597363;36,3523335946;23.705,8884930354;1.197,5553077814 
p= 0.5, r= 1.0, n= 100, t= 1000;48,2033199113;29,6053741637;12.042,0504287459;1.094,8812761766 
p= 0.5, r= 1.0, n= 100, t= 10000;46,8916964287;34,3919799241;16.182,7508662601;1.285,9869073484 
p= 0.5, r= 1.0, n= 1000, t= 50;170.612,2252633280;80,1878331557;70.064.938.085,1401500000;198.811,9081739943 
p= 0.5, r= 1.0, n= 1000, t= 100;201.389,2490503460;77,8792361519;62.630.980.973,9320140000;192.957,3547111653 
p= 0.5, r= 1.0, n= 1000, t= 1000;196.093,2117985376;74,4514234651;72.623.320.916,1908700000;206.830,6514716683 
p= 0.5, r= 1.0, n= 1000, t= 10000;184.280,4835501708;73,9745076288;43.019.333.880,5475540000;221.974,9719196306 
p= 0.5, r= 2.0, n= 5, t= 50;615,7688869646;12,0682187094;1.328.335,1024329525;1.848,1698712044 
p= 0.5, r= 2.0, n= 5, t= 100;599,8186998717;13,1415675374;1.434.731,7248969174;1.946,7614883092 
p= 0.5, r= 2.0, n= 5, t= 1000;618,6271284369;12,3780585944;1.079.050,0822569570;1.925,3793835336 
p= 0.5, r= 2.0, n= 5, t= 10000;577,9487747251;12,9811575138;1.476.484,4214968850;1.821,0139403427 
p= 0.5, r= 2.0, n= 20, t= 50;305,3679315171;7,2508189160;290.359,9991088029;1.528,6486184944 
p= 0.5, r= 2.0, n= 20, t= 100;310,9019449621;7,3798301550;397.158,5225801763;1.430,7827871045 
p= 0.5, r= 2.0, n= 20, t= 1000;284,1725434658;7,3919419086;355.323,6475264804;1.473,8899151765 
p= 0.5, r= 2.0, n= 20, t= 10000;313,3059266808;7,7018428893;365.517,1013166382;1.475,5311581720 
p= 0.5, r= 2.0, n= 100, t= 50;194,5533175298;7,2822569378;142.900,9688960764;1.269,5878804876 
p= 0.5, r= 2.0, n= 100, t= 100;188,3246212129;14,5157176405;156.973,1731416107;1.213,7166016033 
p= 0.5, r= 2.0, n= 100, t= 1000;192,2663981353;7,4526276951;164.329,8641155830;1.246,3139465672 
p= 0.5, r= 2.0, n= 100, t= 10000;183,8827487335;6,6456204596;160.907,5148357862;1.334,1054519585 
p= 0.5, r= 2.0, n= 1000, t= 50;88.364,2476944814;70,2844360314;13.594.733.781,3797200000;92.643,3082997121 
p= 0.5, r= 2.0, n= 1000, t= 100;99.282,4164231374;65,4353138780;14.880.455.938,2675480000;93.411,5267029580 
p= 0.5, r= 2.0, n= 1000, t= 1000;131.039,6868030868;65,8368700804;13.369.713.885,7379190000;81.375,7262992545 
p= 0.5, r= 2.0, n= 1000, t= 10000;86.006,7903102742;65,3596847791;19.017.114.963,9994200000;92.043,3446799910 
p= 0.5, r= 4.0, n= 5, t= 50;2.561,7071367564;26,0440167442;25.563.937,7640342000;3.402,7429325784 
p= 0.5, r= 4.0, n= 5, t= 100;2.448,4380139601;25,0039483402;22.261.646,3563346940;3.418,1283075905 
p= 0.5, r= 4.0, n= 5, t= 1000;2.289,1198487392;24,6710145357;16.550.958,8978694120;3.426,9897530716 
p= 0.5, r= 4.0, n= 5, t= 10000;2.318,1058047947;22,9570570382;23.580.784,8722934100;3.740,9805677525 
p= 0.5, r= 4.0, n= 20, t= 50;1.181,0126698689;15,0417986763;5.137.660,8053929840;2.356,0466632822 
p= 0.5, r= 4.0, n= 20, t= 100;1.280,3717002249;14,6215383277;4.594.014,6637239470;2.178,5000779265 
p= 0.5, r= 4.0, n= 20, t= 1000;1.164,6886545363;13,4157423398;4.216.214,0349568620;2.279,1554214138 
p= 0.5, r= 4.0, n= 20, t= 10000;1.233,3119475049;14,6284317416;5.546.654,4812743700;2.338,2823786148 
p= 0.5, r= 4.0, n= 100, t= 50;755,8307831588;10,6200313169;1.648.936,0964139950;1.816,9781377021 
p= 0.5, r= 4.0, n= 100, t= 100;787,8940508434;9,7194170857;2.013.178,5115970334;1.806,2852221795 
p= 0.5, r= 4.0, n= 100, t= 1000;724,2536601846;10,1910873196;1.927.040,0577999793;1.839,6299229904 
p= 0.5, r= 4.0, n= 100, t= 10000;805,6808674057;9,3107920848;2.441.819,9921550876;1.816,7297566847 
p= 0.5, r= 4.0, n= 1000, t= 50;8.731,4320034666;49,5218234672;880.148.697,8689474000;16.320,2105868916 
p= 0.5, r= 4.0, n= 1000, t= 100;9.979,6306553181;52,7913698960;172.486.920,0983830000;9.836,8515056199 
p= 0.5, r= 4.0, n= 1000, t= 1000;10.553,0504862514;57,8041401608;282.844.314,6378878000;19.434,6780480766 
p= 0.5, r= 4.0, n= 1000, t= 10000;22.617,2655529070;50,4456970899;344.244.023,7629439000;8.494,5604771370 
p= 0.5, r= 6.0, n= 5, t= 50;5.427,0087284707;36,7266911262;92.690.189,2080358900;6.608,3626579846 
p= 0.5, r= 6.0, n= 5, t= 100;5.965,6888316475;39,7132307249;91.596.022,6614330600;5.722,3163465606 
p= 0.5, r= 6.0, n= 5, t= 1000;4.997,1860195111;38,4379774851;117.432.685,7507869200;6.787,8226808029 
p= 0.5, r= 6.0, n= 5, t= 10000;5.826,3006666974;34,8333901714;86.499.901,9790670300;6.557,0729862860 
p= 0.5, r= 6.0, n= 20, t= 50;2.848,4497030858;20,3150832082;26.267.930,2442533200;3.792,0859100328 
p= 0.5, r= 6.0, n= 20, t= 100;2.687,1202169586;21,7934938702;19.772.319,3916451100;3.798,6495004207 
